id_conce;dia;mes;qt_acidentes;id_risco
8;26;3;9;1
8;26;3;1;2
8;26;4;16;1
8;26;4;1;2
8;26;5;4;1
8;26;6;10;1
8;26;6;2;2
8;26;7;15;1
8;26;8;8;1
8;26;8;1;3
8;26;9;13;1
8;26;9;1;2
8;26;10;10;1
8;26;10;2;2
8;26;11;14;1
8;26;12;7;1
8;27;1;10;1
8;27;1;3;2
8;27;2;11;1
8;27;2;4;2
8;27;3;21;1
8;27;3;3;2
8;27;4;10;1
8;27;5;4;1
8;27;5;1;2
8;27;6;6;1
8;27;6;1;2
8;27;7;14;1
8;27;7;3;2
8;27;8;11;1
8;27;8;1;2
8;27;8;5;3
8;27;9;17;1
8;27;9;3;2
8;27;10;14;1
8;27;10;3;2
8;27;11;17;1
8;27;11;5;2
8;27;12;10;1
8;27;12;2;2
8;28;1;8;1
8;28;2;6;1
8;28;2;1;2
8;28;3;8;1
8;28;3;4;2
8;28;4;8;1
8;28;4;2;2
8;28;5;11;1
8;28;5;1;3
8;28;6;3;1
8;28;6;2;2
8;28;7;16;1
8;28;7;1;2
8;28;8;8;1
8;28;8;3;2
8;28;8;1;3
8;28;9;12;1
8;28;9;2;2
8;28;10;19;1
8;28;10;2;2
8;28;11;12;1
8;28;11;1;2
8;28;11;1;3
8;28;12;2;1
8;28;12;1;2
8;29;1;12;1
8;29;1;1;3
8;29;2;6;1
8;29;2;1;2
8;29;3;20;1
8;29;4;10;1
8;29;4;1;2
8;29;5;13;1
8;29;5;2;2
8;29;5;3;3
8;29;6;17;1
8;29;7;16;1
8;29;7;3;2
8;29;7;1;3
8;29;8;10;1
8;29;9;9;1
8;29;10;9;1
8;29;10;2;3
8;29;11;15;1
8;29;11;4;2
8;29;12;7;1
8;29;12;1;2
8;30;1;4;1
8;30;3;15;1
8;30;3;4;2
8;30;3;2;3
8;30;4;6;1
8;30;4;2;2
8;30;5;12;1
8;30;5;2;3
8;30;6;9;1
8;30;7;7;1
8;30;7;1;2
8;30;8;11;1
8;30;8;1;3
8;30;9;18;1
8;30;9;1;2
8;30;10;8;1
8;30;11;14;1
8;30;11;3;2
8;30;12;10;1
8;30;12;4;2
8;31;1;12;1
8;31;1;1;2
8;31;3;16;1
8;31;3;4;2
8;31;5;8;1
8;31;5;1;2
8;31;7;7;1
8;31;7;1;2
8;31;7;3;3
8;31;8;12;1
8;31;8;1;2
8;31;10;12;1
8;31;10;2;2
8;31;12;3;1
