id_conce; id_acidente_tip; dia; mes; total; id_risco
6;25;16;2;1;1
6;24;16;2;1;1
6;35;16;2;1;1
6;13;17;2;2;1
6;29;17;2;1;1
6;24;17;2;1;1
6;24;17;2;1;1
6;25;17;2;1;1
6;18;18;2;1;1
6;13;18;2;1;1
6;38;18;2;1;1
6;13;19;2;1;1
6;18;19;2;1;1
6;13;20;2;2;1
6;29;20;2;1;1
6;13;20;2;1;1
6;13;20;2;1;2
6;41;21;2;1;1
6;18;21;2;1;1
6;21;21;2;1;1
6;13;21;2;1;1
6;11;21;2;1;1
6;25;22;2;1;1
6;18;22;2;1;1
6;13;22;2;2;1
6;24;22;2;2;1
6;11;22;2;2;1
6;13;22;2;2;1
6;25;22;2;1;1
6;18;22;2;1;1
6;13;22;2;1;1
6;18;23;2;1;1
6;18;23;2;1;1
6;41;23;2;1;1
6;13;23;2;2;1
6;11;23;2;1;1
6;24;23;2;1;1
6;13;24;2;1;1
6;18;24;2;1;1
6;13;25;2;1;1
6;24;26;2;1;1
6;13;26;2;2;1
6;18;26;2;1;1
6;13;26;2;2;1
6;13;26;2;1;1
6;13;26;2;1;1
6;18;27;2;1;1
6;29;27;2;1;1
6;13;27;2;1;1
6;18;28;2;1;1
6;24;28;2;1;1
6;29;28;2;1;1
6;13;1;3;1;1
6;13;1;3;1;1
6;13;1;3;2;1
6;13;1;3;1;1
6;81;1;3;1;1
6;13;1;3;2;1
6;13;2;3;1;1
6;18;2;3;1;1
6;41;2;3;1;1
6;24;2;3;1;1
6;0;2;3;1;1
6;6;2;3;2;1
6;18;3;3;1;1
6;27;3;3;1;1
6;0;3;3;1;1
6;0;3;3;1;1
6;29;4;3;1;1
6;0;4;3;1;1
6;13;4;3;1;1
6;0;4;3;1;1
6;0;4;3;2;1
6;29;4;3;1;1
6;6;4;3;2;1
6;13;5;3;2;1
6;24;5;3;1;1
6;18;5;3;1;1
6;13;5;3;1;1
6;13;5;3;1;1
6;13;5;3;1;1
6;44;6;3;1;3
6;24;6;3;2;1
6;37;6;3;1;1
6;24;6;3;1;1
6;13;6;3;1;1
6;32;6;3;2;1
6;18;6;3;1;1
6;18;7;3;1;1
6;18;7;3;2;1
6;27;8;3;2;1
6;24;8;3;1;1
6;29;8;3;1;1
6;24;8;3;1;1
6;0;8;3;1;1
6;18;9;3;3;1
6;29;9;3;1;1
6;11;9;3;2;1
6;24;9;3;1;1
6;6;10;3;1;1
6;27;10;3;2;1
6;18;10;3;1;1
6;38;10;3;1;1
6;0;11;3;1;1
6;18;11;3;1;1
6;11;11;3;2;1
6;31;11;3;1;3
6;11;11;3;3;1
6;18;12;3;1;1
6;27;12;3;2;1
6;13;12;3;1;2
6;24;13;3;1;1
6;35;13;3;1;1
6;13;14;3;1;1
6;29;14;3;1;1
6;0;14;3;1;1
6;18;14;3;1;1
6;29;14;3;2;1
6;13;14;3;1;1
6;0;14;3;1;1
6;33;14;3;1;1
6;0;14;3;1;1
6;24;15;3;1;1
6;29;15;3;1;1
6;29;16;3;1;1
6;18;16;3;1;1
6;13;17;3;1;1
6;32;17;3;1;1
6;36;17;3;2;1
6;18;19;3;1;1
6;13;20;3;1;1
6;13;20;3;2;1
6;0;20;3;1;1
6;11;20;3;1;1
6;24;20;3;1;2
6;0;20;3;1;1
6;29;21;3;2;1
6;29;21;3;1;1
6;0;21;3;1;1
6;0;21;3;1;1
6;18;21;3;1;1
6;13;21;3;2;3
6;6;21;3;1;1
6;29;21;3;1;1
6;30;21;3;1;1
6;18;21;3;2;1
6;13;21;3;1;2
6;44;22;3;1;3
6;21;23;3;1;1
6;13;23;3;1;1
6;13;23;3;2;1
6;45;24;3;1;2
6;18;24;3;1;1
6;24;24;3;1;1
6;13;24;3;1;1
6;41;25;3;1;1
6;27;25;3;1;1
6;45;25;3;1;1
6;0;26;3;1;1
6;29;26;3;1;1
6;29;26;3;1;1
6;24;26;3;1;1
6;29;26;3;1;1
6;36;27;3;1;1
6;0;27;3;2;1
6;0;27;3;1;1
6;6;28;3;1;1
6;29;28;3;2;1
6;0;28;3;2;1
6;13;29;3;1;1
6;29;29;3;1;1
6;6;29;3;1;1
6;6;29;3;1;1
6;27;29;3;2;1
6;13;30;3;1;1
6;0;30;3;1;1
6;13;30;3;1;1
6;18;30;3;1;1
6;13;30;3;1;1
6;13;30;3;1;1
6;29;31;3;1;1
6;24;31;3;1;1
6;29;31;3;1;1
6;21;1;4;1;1
6;13;1;4;2;1
6;13;2;4;2;1
6;0;2;4;1;1
6;13;2;4;1;1
6;13;3;4;2;1
6;13;3;4;2;1
6;29;3;4;1;1
6;6;3;4;1;1
6;24;3;4;2;1
6;13;3;4;2;2
6;29;3;4;1;1
6;18;4;4;1;1
6;11;4;4;3;1
6;21;4;4;1;1
6;18;5;4;1;1
6;29;5;4;1;1
6;24;5;4;1;1
6;48;6;4;2;1
6;13;6;4;1;1
6;18;7;4;1;2
6;11;8;4;1;1
6;13;9;4;1;1
6;21;9;4;1;1
6;13;9;4;1;1
6;18;9;4;1;1
6;18;10;4;1;1
6;29;11;4;1;1
6;18;11;4;1;1
6;0;11;4;1;1
6;0;12;4;1;1
6;13;12;4;2;1
6;13;12;4;1;1
6;13;13;4;2;1
6;21;13;4;1;1
6;29;13;4;1;1
6;13;13;4;1;1
6;29;13;4;1;1
6;13;13;4;2;1
6;24;13;4;1;1
6;18;14;4;1;2
6;0;14;4;1;1
6;29;14;4;1;1
6;0;14;4;1;1
6;11;14;4;1;1
6;13;14;4;1;1
6;24;14;4;1;1
6;29;14;4;1;1
6;41;14;4;1;1
6;18;14;4;1;1
6;18;14;4;1;1
6;29;14;4;1;1
6;13;15;4;1;1
6;0;15;4;1;1
6;18;16;4;1;1
6;21;16;4;1;1
6;24;16;4;1;1
6;18;16;4;1;1
6;18;16;4;1;1
6;24;16;4;1;1
6;24;16;4;2;1
6;29;16;4;1;1
6;36;16;4;1;1
6;24;17;4;1;1
6;24;17;4;1;1
6;24;17;4;1;1
6;13;17;4;2;1
6;30;17;4;1;1
6;0;18;4;1;1
6;13;18;4;2;1
6;13;18;4;2;1
6;13;18;4;2;1
6;13;18;4;1;1
6;13;18;4;1;1
6;13;18;4;2;1
6;13;19;4;1;1
6;18;19;4;1;1
6;24;19;4;2;1
6;11;19;4;1;1
6;13;19;4;1;2
6;24;19;4;1;1
6;37;19;4;1;3
6;18;20;4;1;1
6;18;20;4;1;3
6;13;20;4;2;1
6;18;20;4;1;1
6;18;21;4;1;2
6;13;21;4;2;1
6;0;22;4;1;1
6;18;23;4;1;1
6;13;23;4;1;1
6;24;23;4;1;1
6;18;24;4;1;1
6;11;24;4;1;1
6;18;25;4;1;1
6;13;25;4;2;1
6;45;26;4;1;1
6;13;26;4;1;1
6;18;26;4;2;1
6;24;27;4;1;1
6;18;27;4;1;1
6;13;27;4;1;1
6;31;27;4;1;3
6;30;28;4;1;1
6;24;28;4;1;1
6;18;28;4;1;1
6;24;28;4;2;1
6;18;28;4;1;1
6;13;29;4;1;1
6;13;29;4;1;1
6;11;29;4;1;1
6;11;29;4;2;1
6;0;30;4;1;1
6;18;30;4;1;1
6;13;1;5;2;1
6;18;1;5;1;1
6;0;1;5;1;1
6;13;2;5;2;1
6;13;2;5;1;1
6;18;2;5;1;1
6;0;2;5;1;1
6;24;4;5;1;1
6;6;5;5;1;1
6;0;6;5;1;1
6;13;7;5;1;1
6;29;7;5;1;1
6;24;7;5;1;1
6;24;7;5;2;1
6;0;8;5;2;1
6;18;8;5;1;1
6;36;8;5;1;1
6;13;8;5;1;1
6;24;8;5;1;1
6;29;8;5;1;1
6;38;8;5;1;1
6;13;8;5;1;1
6;11;9;5;1;1
6;13;10;5;2;1
6;24;10;5;1;1
6;18;10;5;1;1
6;13;10;5;2;1
6;13;10;5;2;1
6;29;11;5;1;1
6;13;11;5;1;1
6;24;12;5;1;1
6;24;12;5;1;1
6;24;13;5;1;1
6;18;14;5;1;1
6;29;14;5;1;1
6;13;15;5;2;1
6;13;15;5;2;1
6;45;15;5;1;1
6;45;15;5;1;1
6;13;15;5;2;1
6;18;16;5;1;1
6;18;16;5;1;1
6;18;16;5;1;1
6;13;16;5;2;1
6;13;16;5;2;1
6;18;17;5;1;1
6;24;17;5;1;1
6;0;17;5;1;1
6;13;17;5;1;1
6;24;17;5;1;1
6;13;17;5;2;1
6;28;17;5;1;1
