dia;mes;hora;minuto;km;trecho;sentido;acidente_caminhao
20;01;17;;216;1;4;0
20;01;06;;217;1;4;0
20;01;07;;218;1;4;0
20;01;07;;219;1;4;0
20;01;15;;219;1;4;0
20;01;01;;220.6;2;4;1
20;01;06;;225;1;4;0
20;01;21;;228.2;1;4;1
20;01;18;;231;1;4;1
20;01;03;;244.6;2;3;1
20;01;13;;265.5;2;3;1
20;01;17;;324;2;4;0
20;01;17;;324.3;2;4;0
21;01;02;;33.5;1;4;0
21;01;11;;39.6;1;4;0
21;01;07;;111;1;4;1
21;01;18;;126;1;3;0
21;01;19;;143;1;3;0
21;01;15;;144.9;1;4;0
21;01;17;;159.9;1;4;0
21;01;17;;161;1;4;1
21;01;05;;170.8;2;3;0
21;01;17;;170.9;2;4;1
21;01;13;;172.6;2;4;0
21;01;17;;175.4;2;4;0
21;01;18;;185;2;3;0
21;01;17;;191.2;1;4;1
21;01;16;;195.2;2;3;1
21;01;22;;200;2;3;1
21;01;03;;212.7;1;4;0
21;01;07;;219;1;4;0
21;01;08;;226;1;4;0
21;01;22;;228;2;3;0
21;01;20;;229.8;2;3;0
21;01;18;;273.8;2;3;0
21;01;15;;278;2;3;1
21;01;03;;288.56;2;4;1
21;01;03;;324.38;2;3;1
21;01;12;;328.9;2;3;0
22;01;21;;51.8;1;4;0
22;01;15;;100.7;1;4;0
22;01;17;;121.4;1;3;0
22;01;01;;144.4;1;4;0
22;01;01;;170;1;4;0
22;01;08;;171.8;2;3;0
22;01;14;;183.2;1;3;1
22;01;05;;184.9;2;3;1
22;01;10;;187.8;1;4;0
22;01;06;;207;2;4;0
22;01;04;;208.2;1;4;0
22;01;17;;210.3;2;4;0
22;01;08;;215.65;1;4;0
22;01;14;;216.7;1;4;0
22;01;13;;219;1;4;1
22;01;21;;220.25;2;4;0
22;01;19;;221.5;2;4;0
22;01;20;;225.25;2;3;1
22;01;23;;228;2;3;0
22;01;19;;230.2;2;3;0
22;01;19;;235.7;2;4;0
22;01;23;;250.85;2;4;0
22;01;13;;268.85;2;4;1
22;01;17;;270;2;3;0
22;01;14;;289.2;2;4;1
22;01;20;;320.5;2;3;1
23;01;14;;27.65;1;4;1
23;01;07;;69;1;3;0
23;01;14;;99;1;4;1
23;01;01;;104;1;3;1
23;01;17;;144;1;4;1
23;01;22;;145.4;1;3;0
23;01;08;;153.2;1;3;0
23;01;14;;165.2;2;3;0
23;01;19;;167;2;3;0
23;01;05;;168.4;2;4;0
23;01;23;;171.4;2;4;0
23;01;07;;172.45;2;3;1
23;01;11;;174;2;4;1
23;01;12;;175.2;2;3;0
23;01;17;;175.4;2;3;0
23;01;01;;180.1;2;4;1
23;01;18;;186;1;4;0
23;01;12;;189.8;2;4;0
23;01;13;;196;1;4;1
23;01;14;;218;1;3;0
23;01;05;;230.8;1;3;0
23;01;15;;231;1;4;1
23;01;17;;277.84;2;3;0
23;01;13;;306.3;2;4;0
24;01;03;;11.2;1;3;0
24;01;18;;17;1;3;0
24;01;18;;29.6;1;4;0
24;01;07;;53;1;3;0
24;01;00;;56.7;1;3;0
24;01;14;;64;1;4;0
24;01;08;;67.86;1;4;0
24;01;14;;101;1;4;0
24;01;16;;101.1;1;4;0
24;01;06;;109;1;4;0
24;01;14;;117;1;4;0
24;01;10;;140;1;3;0
24;01;16;;142;1;4;0
24;01;17;;144.1;1;4;0
24;01;16;;144.4;1;4;0
24;01;17;;145;1;4;0
24;01;15;;146.4;1;3;0
24;01;00;;152.2;1;4;1
24;01;04;;155;1;3;0
24;01;21;;162;1;4;0
24;01;21;;171.7;2;4;0
24;01;18;;185.5;2;3;0
24;01;20;;185.5;2;4;0
24;01;14;;188;1;3;0
24;01;15;;188.8;1;3;0
24;01;10;;192;2;4;0
24;01;13;;204.9;1;3;0
24;01;13;;208.5;1;4;0
24;01;19;;214.7;2;3;0
24;01;14;;218;1;3;0
24;01;18;;220.75;2;4;0
24;01;05;;220.8;1;3;0
24;01;17;;221.55;2;4;0
24;01;04;;223;1;4;0
24;01;09;;223;2;3;1
24;01;17;;223;1;3;0
24;01;17;;226.3;2;3;0
24;01;18;;228.1;2;4;0
24;01;23;;230;2;3;0
