data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
01/12/2020;16:30:00;196;Acidente com VITIMA;347,000;BR-386/RS;Norte;Colisão - Traseira;1;1;1;0;0;0;1
02/12/2020;17:51:00;519;Acidente sem VITIMA;328,000;BR-386/RS;Norte;Colisão - Lateral;1;2;0;0;0;0;1
09/12/2020;18:30:00;210;Acidente com VITIMA;345,000;BR-386/RS;Sul;Colisão - Traseira;1;2;0;0;1;0;2
10/12/2020;16:57:45;253;Acidente sem VITIMA;89,000;BR-290/RS;Oeste;Colisão - Lateral;1;2;0;0;0;0;1
17/12/2020;04:28:00;16;Acidente sem VITIMA;15,000;BR-290/RS;Oeste;Saída de pista;1;1;0;0;0;0;1
11/12/2020;07:52:28;59;Acidente sem VITIMA;215,000;BR-386/RS;Sul;Colisão - Traseira;1;2;0;0;0;0;1
10/12/2020;09:00:00;86;Acidente sem VITIMA;74,000;BR-290/RS;Oeste;Colisão - Traseira;1;2;0;0;0;0;1
23/12/2020;04:23:09;16;Acidente sem VITIMA;56,000;BR-290/RS;Leste;Queda de ribanceira;1;1;0;0;0;0;1
08/12/2020;15:50:58;227;Acidente sem VITIMA;92,000;BR-290/RS;Leste;Colisão - Lateral;1;3;0;0;0;0;1
24/12/2020;11:19:00;175;Acidente sem VITIMA;61,000;BR-101/RS;Sul;Colisão - Lateral;1;3;0;0;0;0;1
20/12/2020;01:12:00;9;Acidente sem VITIMA;358,000;BR-386/RS;Norte;Capotamento;1;1;0;0;0;0;1
01/12/2020;18:43:00;234;Acidente sem VITIMA;4,000;BR-448/RS;Norte;Colisão - Traseira;1;2;0;0;0;0;1
15/12/2020;20:03:31;257;Acidente com VITIMA;53,000;BR-290/RS;Leste;Queda de ribanceira;1;1;0;1;0;0;2
16/12/2020;07:23:00;39;Acidente sem VITIMA;91,000;BR-290/RS;Oeste;Colisão - Lateral;1;3;0;0;0;0;1
17/12/2020;08:16:00;74;Acidente sem VITIMA;437,000;BR-386/RS;Norte;Colisão - Traseira;1;4;0;0;0;0;1
23/12/2020;22:52:00;389;Acidente sem VITIMA;4,000;BR-290/RS;Leste;Queda de ribanceira;1;1;0;0;0;0;1
03/12/2020;08:32:00;75;Acidente sem VITIMA;289,000;BR-386/RS;Norte;Colisão - Lateral;1;4;0;0;0;0;1
03/12/2020;09:06:00;83;Acidente sem VITIMA;350,000;BR-386/RS;Sul;Colisão - Lateral;1;3;0;0;0;0;1
