data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
25/03/2021;10:20:58;118;ac02 - Acidente com vítima;89;BR-364/GO;Oeste;Colisão Transversal;1;0;2;;;;1
25/03/2021;20:21:28;320;ac02 - Acidente com vítima;628,7;BR-365/MG;Leste;Colisão Traseira;1;2;1;;;;1
27/03/2021;22:08:41;324;ac03 - Acidente com vítima ilesa;626,6;BR-365/MG;Oeste;Tombamento;1;1;;;;;1
01/04/2021;18:19:47;297;ac03 - Acidente com vítima ilesa;704,35;BR-365/MG;Leste;Colisão Traseira;1;2;;;;;1
03/04/2021;06:25:52;18;ac02 - Acidente com vítima;773;BR-365/MG;Oeste;Colisão Transversal;1;3;1;1;;;2
04/04/2021;13:42:19;103;ac02 - Acidente com vítima;83,4;BR-364/GO;Leste;Colisão lateral no mesmo sentido;1;1;;1;;;2
06/04/2021;14:52:14;223;ac03 - Acidente com vítima ilesa;147,5;BR-364/GO;Oeste;Choque - Sinalização;1;1;;;;;1
06/04/2021;15:11:28;233;ac02 - Acidente com vítima;154,5;BR-364/GO;Oeste;Tombamento;1;0;1;;;;1
10/04/2021;14:33:41;214;ac03 - Acidente com vítima ilesa;659;BR-365/MG;Leste;Choque - Veiculo parado no acostamento;1;2;;;;;1
12/04/2021;19:07:58;311;ac03 - Acidente com vítima ilesa;729;BR-365/MG;Leste;Choque - Elemento de Drenagem;1;1;;;;;1
13/04/2021;06:40:45;40;ac03 - Acidente com vítima ilesa;627,3;BR-365/MG;Oeste;Tombamento;1;1;;;;;1
17/04/2021;22:38:05;339;ac02 - Acidente com vítima;4;BR-364/GO;Oeste;Colisão Traseira;1;1;2;;;;1
18/04/2021;20:19:57;305;ac02 - Acidente com vítima;96,5;BR-364/GO;Oeste;Colisão lateral no sentido contrário;1;1;;;1;;2
22/04/2021;17:45:17;354;ac02 - Acidente com vítima;673,5;BR-365/MG;Oeste;Atropelamento de Animal;1;2;1;;;;1
23/04/2021;21:41:56;392;ac02 - Acidente com vítima;719,2;BR-365/MG;Oeste;Colisão lateral no mesmo sentido;1;0;1;;;;1
26/04/2021;04:47:30;35;ac03 - Acidente com vítima ilesa;689,4;BR-365/MG;Leste;Atropelamento de Animal;1;1;;;;;1
27/04/2021;15:27:37;269;ac02 - Acidente com vítima;794;BR-365/MG;Leste;Engavetamento;1;1;1;;;;1
29/04/2021;19:03:41;354;ac01 - Acidente com vitima fatal;719;BR-365/MG;Oeste;Colisão Traseira;1;1;;;;2;3
30/04/2021;14:02:57;245;ac02 - Acidente com vítima;630;BR-365/MG;Oeste;Colisão lateral no mesmo sentido;1;2;2;;;;1
02/05/2021;14:27:58;143;ac02 - Acidente com vítima;91,1;BR-364/GO;Leste;Tombamento;1;0;;1;;;2
05/05/2021;08:47:58;79;ac03 - Acidente com vítima ilesa;168,4;BR-364/GO;Leste;Colisão Traseira;2;3;;;;;1
07/05/2021;16:40:44;254;ac03 - Acidente com vítima ilesa;81,8;BR-364/GO;Oeste;Tombamento;1;1;;;;;1
08/05/2021;07:06:07;40;ac03 - Acidente com vítima ilesa;637,62;BR-365/MG;Oeste;Colisão Traseira;1;5;;;;;1
09/05/2021;13:32:28;152;ac02 - Acidente com vítima;154;BR-364/GO;Leste;Tombamento;1;0;1;;;;1
09/05/2021;22:11:57;303;ac02 - Acidente com vítima;764,2;BR-365/MG;Oeste;Colisão lateral no mesmo sentido;1;0;1;;;;1
09/05/2021;22:27:37;306;ac02 - Acidente com vítima;637;BR-365/MG;Oeste;Colisão Traseira;1;1;;1;;;2
13/05/2021;15:29:50;241;ac02 - Acidente com vítima;139,7;BR-364/GO;Leste;Tombamento;1;0;2;;;;1
13/05/2021;20:49:58;341;ac03 - Acidente com vítima ilesa;21;BR-364/GO;Leste;Colisão lateral no mesmo sentido;1;1;;;;;1
14/05/2021;17:12:21;259;ac02 - Acidente com vítima;160,3;BR-364/GO;Leste;Colisão Transversal;1;2;;1;;;2
14/05/2021;18:52:33;292;ac02 - Acidente com vítima;639;BR-365/MG;Oeste;Capotamento;1;3;1;;;;1
16/05/2021;06:58:44;27;ac02 - Acidente com vítima;626,6;BR-365/MG;Leste;Colisão Transversal;1;1;1;;;;1
17/05/2021;23:36:23;365;ac02 - Acidente com vítima;706;BR-365/MG;Oeste;Tombamento;1;0;1;;;;1
18/05/2021;03:41:47;19;ac03 - Acidente com vítima ilesa;708;BR-365/MG;Leste;Tombamento;1;0;;;;;1
20/05/2021;22:27:38;394;ac02 - Acidente com vítima;706;BR-365/MG;Oeste;Colisão lateral no mesmo sentido;2;1;1;;;;1
24/05/2021;10:20:50;125;ac02 - Acidente com vítima;89,09;BR-364/GO;Leste;Colisão Transversal;2;1;1;;;;1
26/05/2021;12:34:28;175;ac02 - Acidente com vítima;811;BR-365/MG;Leste;Choque - Meio fio;1;0;1;;;;1
26/05/2021;17:33:59;273;ac02 - Acidente com vítima;751;BR-365/MG;Oeste;Colisão lateral no mesmo sentido;1;2;1;;;;1
30/05/2021;20:58:57;276;ac02 - Acidente com vítima;706,5;BR-365/MG;Leste;Choque - Elemento de Drenagem;1;0;1;;1;;2
01/06/2021;05:34:14;30;ac02 - Acidente com vítima;787,9;BR-365/MG;Oeste;Tombamento;1;0;;;1;;2
02/06/2021;15:22:45;204;ac03 - Acidente com vítima ilesa;160;BR-364/GO;Leste;Choque - Meio fio;1;1;;;;;1
10/06/2021;14:15:54;161;ac02 - Acidente com vítima;697,55;BR-365/MG;Oeste;Tombamento;1;1;;1;;;2
11/06/2021;14:38:13;175;ac03 - Acidente com vítima ilesa;704,35;BR-365/MG;Oeste;Choque - Elemento de Drenagem;1;1;;;;;1
16/06/2021;07:15:25;33;ac02 - Acidente com vítima;832,6;BR-365/MG;Leste;Colisão Traseira;1;1;1;;;;1
