dia;mes;id_sentido; id_trecho; percentual_risco;id_risco
13;1;4;2;0.11;2
14;1;3;1;0.45;1
14;1;3;1;0.48;2
14;1;3;1;0.07;3
14;1;3;2;0.79;1
14;1;3;2;0.21;2
14;1;4;1;0.5;1
14;1;4;1;0.5;2
14;1;4;2;0.79;1
14;1;4;2;0.21;2
15;1;3;1;0.64;1
15;1;3;1;0.09;2
15;1;3;1;0.27;3
15;1;3;2;0.72;1
15;1;3;2;0.28;2
15;1;4;1;0.76;1
15;1;4;1;0.24;2
15;1;4;2;0.67;1
15;1;4;2;0.33;2
16;1;3;1;0.94;1
16;1;3;1;0.06;2
16;1;3;2;0.9;1
16;1;3;2;0.1;2
16;1;4;1;0.77;1
16;1;4;1;0.23;2
16;1;4;2;0.9;1
16;1;4;2;0.1;2
17;1;3;1;0.67;1
17;1;3;1;0.33;2
17;1;3;2;0.64;1
17;1;3;2;0.36;2
17;1;4;1;0.92;1
17;1;4;1;0.08;2
17;1;4;2;0.5;1
17;1;4;2;0.5;2
18;1;1;1;1.0;2
18;1;3;1;0.42;1
18;1;3;1;0.44;2
18;1;3;1;0.13;3
18;1;3;2;0.79;1
18;1;3;2;0.21;2
18;1;4;1;0.66;1
18;1;4;1;0.23;2
18;1;4;1;0.11;3
18;1;4;2;0.91;1
18;1;4;2;0.09;2
19;1;1;1;1.0;1
19;1;3;1;0.85;1
19;1;3;1;0.15;2
19;1;3;2;0.56;1
19;1;3;2;0.44;2
19;1;4;1;0.5;1
19;1;4;1;0.5;2
19;1;4;2;0.76;1
19;1;4;2;0.24;2
20;1;3;1;0.62;1
20;1;3;1;0.38;2
20;1;3;2;0.82;1
20;1;3;2;0.18;2
20;1;4;1;0.69;1
20;1;4;1;0.22;2
20;1;4;1;0.08;3
20;1;4;2;0.58;1
20;1;4;2;0.42;2
21;1;3;1;0.54;1
21;1;3;1;0.29;2
21;1;3;1;0.17;3
21;1;3;2;0.67;1
21;1;3;2;0.24;2
21;1;3;2;0.09;3
21;1;4;1;0.66;1
21;1;4;1;0.21;2
21;1;4;1;0.14;3
21;1;4;2;0.5;1
21;1;4;2;0.5;2
22;1;3;1;0.52;1
22;1;3;1;0.48;2
22;1;3;2;0.7;1
22;1;3;2;0.3;2
22;1;4;1;0.82;1
22;1;4;1;0.18;2
22;1;4;2;0.9;1
22;1;4;2;0.1;2
23;1;3;1;0.61;1
23;1;3;1;0.12;2
23;1;3;1;0.27;3
23;1;3;2;0.58;1
23;1;3;2;0.42;2
23;1;4;1;0.71;1
23;1;4;1;0.29;2
23;1;4;2;0.64;1
23;1;4;2;0.36;2
24;1;3;1;0.54;1
24;1;3;1;0.46;2
24;1;3;2;0.62;1
24;1;3;2;0.25;2
24;1;3;2;0.12;3
24;1;4;1;0.37;1
24;1;4;1;0.47;2
24;1;4;1;0.16;3
24;1;4;2;0.78;1
24;1;4;2;0.22;2
25;1;3;1;0.46;1
25;1;3;1;0.54;2
25;1;3;2;0.57;1
25;1;3;2;0.43;2
25;1;4;1;0.67;1
25;1;4;1;0.33;2
25;1;4;2;0.81;1
25;1;4;2;0.08;2
25;1;4;2;0.12;3
26;1;1;1;1.0;1
26;1;2;1;1.0;1
26;1;3;1;0.76;1
26;1;3;1;0.24;2
26;1;3;2;0.32;1
26;1;3;2;0.36;2
26;1;3;2;0.32;3
26;1;4;1;0.65;1
26;1;4;1;0.26;2
26;1;4;1;0.1;3
26;1;4;2;0.76;1
26;1;4;2;0.14;2
26;1;4;2;0.1;3
27;1;3;1;0.82;1
27;1;3;1;0.18;2
27;1;3;2;0.84;1
27;1;3;2;0.16;2
27;1;4;1;0.84;1
27;1;4;1;0.16;2
27;1;4;2;0.59;1
27;1;4;2;0.3;2
27;1;4;2;0.11;3
28;1;1;1;1.0;1
28;1;3;1;0.62;1
28;1;3;1;0.25;2
28;1;3;1;0.12;3
28;1;3;2;0.63;1
28;1;3;2;0.37;2
28;1;4;1;0.61;1
28;1;4;1;0.39;2
28;1;4;2;0.64;1
28;1;4;2;0.36;2
29;1;1;1;1.0;1
29;1;3;1;0.6;1
29;1;3;1;0.4;2
29;1;3;2;0.58;1
29;1;3;2;0.42;2
29;1;4;1;0.7;1
29;1;4;1;0.22;2
29;1;4;1;0.08;3
29;1;4;2;0.71;1
29;1;4;2;0.17;2
29;1;4;2;0.12;3
30;1;3;1;0.54;1
30;1;3;1;0.24;2
30;1;3;1;0.22;3
30;1;3;2;0.61;1
30;1;3;2;0.29;2
30;1;3;2;0.11;3
30;1;4;1;0.49;1
30;1;4;1;0.43;2
30;1;4;1;0.08;3
30;1;4;2;0.67;1
30;1;4;2;0.11;2
30;1;4;2;0.22;3
31;1;2;1;1.0;1
31;1;3;1;0.56;1
31;1;3;1;0.44;2
31;1;3;2;0.71;1
31;1;3;2;0.29;2
31;1;4;1;0.68;1
31;1;4;1;0.32;2
31;1;4;2;0.69;1
31;1;4;2;0.31;2
1;2;3;1;0.68;1
1;2;3;1;0.32;2
1;2;3;2;0.74;1
1;2;3;2;0.26;2
1;2;4;1;0.55;1
1;2;4;1;0.45;2
1;2;4;2;0.81;1
1;2;4;2;0.19;2
2;2;3;1;0.75;1
2;2;3;1;0.25;2
2;2;3;2;0.68;1
2;2;3;2;0.25;2
2;2;3;2;0.07;3
2;2;4;1;0.61;1
2;2;4;1;0.19;2
2;2;4;1;0.19;3
2;2;4;2;0.8;1
2;2;4;2;0.2;2
3;2;1;1;1.0;1
3;2;3;1;0.74;1
3;2;3;1;0.15;2
3;2;3;1;0.11;3
3;2;3;2;0.67;1
3;2;3;2;0.33;2
3;2;4;1;0.67;1
3;2;4;1;0.22;2
3;2;4;1;0.11;3
3;2;4;2;0.83;1
3;2;4;2;0.17;2
4;2;3;1;0.55;1
4;2;3;1;0.37;2
4;2;3;1;0.08;3
4;2;3;2;0.58;1
4;2;3;2;0.42;2
4;2;4;1;0.65;1
4;2;4;1;0.2;2
4;2;4;1;0.15;3
4;2;4;2;0.5;1
4;2;4;2;0.4;2
4;2;4;2;0.1;3
5;2;3;1;0.6;1
