id_conce; id_acidente_tip; dia; mes; total; id_risco
1;11;27;6;1;1
1;11;27;7;1;1
1;11;27;7;1;1
1;11;27;9;1;1
1;11;28;6;2;1
1;11;28;11;1;1
1;11;29;12;1;1
1;11;30;3;1;1
1;11;30;4;1;1
1;11;30;6;3;1
1;11;30;6;1;1
1;11;30;9;1;1
1;11;30;11;1;1
1;11;30;12;2;1
1;11;30;12;2;1
1;11;31;3;1;1
1;11;31;8;1;1
1;12;30;3;1;1
1;13;1;2;2;1
1;13;1;3;2;1
1;13;1;3;1;1
1;13;1;3;1;1
1;13;1;4;2;1
1;13;1;4;1;1
1;13;1;4;1;1
1;13;1;4;1;1
1;13;1;5;2;1
1;13;1;6;1;1
1;13;1;6;2;1
1;13;1;6;1;1
1;13;1;6;1;1
1;13;1;7;1;1
1;13;1;8;1;1
1;13;1;8;1;1
1;13;1;10;1;1
1;13;1;10;2;1
1;13;1;10;1;1
1;13;1;10;2;2
1;13;1;10;1;1
1;13;1;11;1;1
1;13;1;11;2;1
1;13;2;2;1;1
1;13;2;3;1;1
1;13;2;3;1;1
1;13;2;3;1;1
1;13;2;4;2;1
1;13;2;7;2;1
1;13;2;7;1;1
1;13;2;8;1;1
1;13;2;8;1;1
1;13;2;8;1;1
1;13;2;9;1;2
1;13;3;1;1;1
1;13;3;1;1;1
1;13;3;1;1;1
1;13;3;3;1;1
1;13;3;3;1;1
1;13;3;4;2;1
1;13;3;4;1;1
1;13;3;5;1;1
1;13;3;6;1;1
1;13;3;6;1;1
1;13;3;7;1;1
1;13;3;9;1;1
1;13;3;10;2;1
1;13;3;11;2;1
1;13;4;1;2;1
1;13;4;2;1;1
1;13;4;2;1;1
1;13;4;3;2;1
1;13;4;5;2;1
1;13;4;5;1;1
1;13;4;12;1;1
1;13;4;12;1;1
1;13;5;1;1;1
1;13;5;2;2;1
1;13;5;2;1;1
1;13;5;3;1;1
1;13;5;3;1;1
1;13;5;4;2;1
1;13;5;4;1;1
1;13;5;4;1;1
1;13;5;5;2;1
1;13;5;5;1;2
1;13;5;5;1;1
1;13;5;5;1;1
1;13;5;5;1;1
1;13;5;6;1;1
1;13;5;6;1;1
1;13;5;7;1;1
1;13;5;7;1;1
1;13;5;8;1;2
1;13;5;9;2;1
1;13;5;10;1;1
1;13;5;11;2;1
1;13;6;1;1;1
1;13;6;1;1;1
1;13;6;3;1;1
1;13;6;3;1;1
1;13;6;4;1;1
1;13;6;5;1;1
1;13;6;5;1;1
1;13;6;6;1;1
1;13;6;7;1;1
1;13;6;8;1;1
1;13;6;8;1;1
1;13;6;8;2;2
1;13;6;10;1;1
1;13;6;10;2;1
1;13;6;11;1;1
1;13;6;11;1;1
1;13;6;12;1;1
1;13;7;2;1;1
1;13;7;3;1;1
1;13;7;3;1;1
1;13;7;3;1;1
1;13;7;5;1;1
1;13;7;5;1;1
1;13;7;8;1;1
1;13;7;8;1;1
1;13;7;9;1;1
1;13;7;10;2;1
1;13;7;10;2;1
1;13;7;10;1;1
1;13;7;11;1;1
1;13;7;11;1;1
1;13;7;12;1;1
1;13;7;12;1;1
1;13;7;12;1;1
1;13;7;12;2;1
1;13;8;1;1;1
1;13;8;2;2;1
1;13;8;2;1;1
1;13;8;4;1;1
1;13;8;4;1;1
1;13;8;4;2;1
1;13;8;5;1;1
1;13;8;6;1;1
1;13;8;7;1;1
1;13;8;8;1;1
1;13;8;9;1;1
1;13;8;10;1;1
1;13;8;10;2;1
1;13;8;11;1;1
1;13;8;12;1;1
1;13;8;12;1;1
1;13;9;3;1;1
1;13;9;4;2;1
1;13;9;5;2;1
1;13;9;5;2;1
1;13;9;6;1;1
1;13;9;6;1;1
1;13;9;8;1;1
1;13;9;8;2;1
1;13;9;8;1;1
1;13;9;8;1;1
1;13;9;9;1;1
1;13;9;9;1;1
1;13;9;10;1;1
1;13;9;10;1;1
1;13;9;10;1;1
1;13;9;12;1;1
1;13;10;2;1;1
1;13;10;3;2;1
1;13;10;4;1;1
1;13;10;4;1;1
1;13;10;5;1;1
1;13;10;5;2;1
1;13;10;7;1;1
1;13;10;7;2;1
1;13;10;7;2;1
1;13;10;9;1;1
1;13;10;9;2;1
1;13;10;10;1;1
1;13;10;12;1;1
1;13;10;12;2;1
1;13;10;12;2;2
1;13;11;1;1;1
1;13;11;1;2;1
1;13;11;3;1;1
1;13;11;5;1;1
1;13;11;5;2;1
1;13;11;6;1;1
1;13;11;9;1;1
1;13;11;10;1;1
1;13;11;11;1;1
1;13;11;11;1;1
1;13;12;3;2;1
1;13;12;5;2;1
1;13;12;7;1;1
1;13;12;10;2;1
1;13;12;10;1;1
1;13;12;11;1;1
1;13;12;11;1;1
1;13;13;3;2;1
1;13;13;3;1;1
1;13;13;4;1;1
1;13;13;6;2;1
1;13;13;6;2;1
1;13;13;7;1;1
1;13;13;7;1;1
1;13;13;8;2;1
1;13;13;8;1;1
1;13;13;9;1;1
1;13;13;9;1;1
1;13;13;12;1;1
1;13;13;12;1;1
1;13;14;1;1;1
1;13;14;1;1;1
1;13;14;1;1;1
1;13;14;1;1;1
1;13;14;2;1;1
1;13;14;2;1;1
1;13;14;3;1;1
1;13;14;3;1;1
1;13;14;3;1;1
1;13;14;5;1;1
1;13;14;5;2;1
1;13;14;7;1;1
1;13;14;8;2;1
